"Plot Title: 10767837"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767837, SEN S/N: 10767837)","Coupler Detached (LGR S/N: 10767837)","Coupler Attached (LGR S/N: 10767837)","Host Connected (LGR S/N: 10767837)","Stopped (LGR S/N: 10767837)","End Of File (LGR S/N: 10767837)"
196,08/10/15 10:06:52 PM,34.907,,,,,
197,08/10/15 11:06:52 PM,34.957,,,,,
198,08/11/15 12:06:52 AM,35.055,,,,,
199,08/11/15 01:06:52 AM,34.957,,,,,
200,08/11/15 02:06:52 AM,34.858,,,,,
201,08/11/15 03:06:52 AM,34.858,,,,,
202,08/11/15 04:06:52 AM,34.907,,,,,
203,08/11/15 05:06:52 AM,35.200,,,,,
204,08/11/15 06:06:52 AM,35.055,,,,,
205,08/11/15 07:06:52 AM,35.006,,,,,
206,08/11/15 08:06:52 AM,35.346,,,,,
207,08/11/15 09:06:52 AM,36.459,,,,,
208,08/11/15 10:06:52 AM,37.893,,,,,
209,08/11/15 11:06:52 AM,38.368,,,,,
210,08/11/15 12:06:52 PM,38.842,,,,,
211,08/11/15 01:06:52 PM,38.415,,,,,
212,08/11/15 02:06:52 PM,38.322,,,,,
213,08/11/15 03:06:52 PM,37.369,,,,,
214,08/11/15 04:06:52 PM,35.976,,,,,
215,08/11/15 05:06:52 PM,35.733,,,,,
216,08/11/15 06:06:52 PM,35.638,,,,,
217,08/11/15 07:06:52 PM,35.492,,,,,
218,08/11/15 08:06:52 PM,35.443,,,,,
219,08/11/15 09:06:52 PM,35.346,,,,,
220,08/11/15 10:06:52 PM,35.395,,,,,
221,08/11/15 11:06:52 PM,35.443,,,,,
222,08/12/15 12:06:52 AM,35.541,,,,,
223,08/12/15 01:06:52 AM,35.492,,,,,
224,08/12/15 02:06:52 AM,35.395,,,,,
225,08/12/15 03:06:52 AM,35.298,,,,,
226,08/12/15 04:06:52 AM,35.249,,,,,
227,08/12/15 05:06:52 AM,35.249,,,,,
228,08/12/15 06:06:52 AM,35.541,,,,,
229,08/12/15 07:06:52 AM,35.492,,,,,
230,08/12/15 08:06:52 AM,35.589,,,,,
231,08/12/15 09:06:52 AM,35.782,,,,,
232,08/12/15 10:06:52 AM,36.072,,,,,
233,08/12/15 11:06:52 AM,38.037,,,,,
234,08/12/15 12:06:52 PM,38.557,,,,,
235,08/12/15 01:06:52 PM,37.893,,,,,
236,08/12/15 02:06:52 PM,37.369,,,,,
237,08/12/15 03:06:52 PM,37.513,,,,,
238,08/12/15 04:06:52 PM,37.274,,,,,
239,08/12/15 05:06:52 PM,36.939,,,,,
240,08/12/15 06:06:52 PM,36.603,,,,,
241,08/12/15 07:06:52 PM,36.025,,,,,
242,08/12/15 08:06:52 PM,35.879,,,,,
243,08/12/15 09:06:52 PM,35.638,,,,,
244,08/12/15 10:06:52 PM,35.298,,,,,
245,08/12/15 11:06:52 PM,35.298,,,,,
246,08/13/15 12:06:52 AM,35.152,,,,,
247,08/13/15 01:06:52 AM,35.395,,,,,
248,08/13/15 02:06:52 AM,35.589,,,,,
249,08/13/15 03:06:52 AM,35.830,,,,,
250,08/13/15 04:06:52 AM,35.782,,,,,
251,08/13/15 05:06:52 AM,35.879,,,,,
252,08/13/15 06:06:52 AM,35.733,,,,,
253,08/13/15 07:06:52 AM,35.638,,,,,
