"ï»¿""Plot Title: 10972588""",,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 10972588, SEN S/N: 10972588)",Coupler Detached (LGR S/N: 10972588),End Of File (LGR S/N: 10972588),,
328,7/28/16 18:43,33.992,,,,
329,7/28/16 18:58,33.443,,,,
330,7/28/16 19:13,32.278,,,,
331,7/28/16 19:28,30.167,,,,
332,7/28/16 19:43,27.751,,,,
333,7/28/16 19:58,26.549,,,,
334,7/28/16 20:13,25.55,,,,
335,7/28/16 20:28,24.702,,,,
336,7/28/16 20:43,24.026,,,,
337,7/28/16 20:58,23.472,,,,
338,7/28/16 21:13,23.016,,,,
339,7/28/16 21:28,22.657,,,,
340,7/28/16 21:43,22.345,,,,
341,7/28/16 21:58,22.034,,,,
342,7/28/16 22:13,21.772,,,,
343,7/28/16 22:28,21.533,,,,
344,7/28/16 22:43,21.294,,,,
345,7/28/16 22:58,21.199,,,,
346,7/28/16 23:13,21.127,,,,
347,7/28/16 23:28,21.056,,,,
348,7/28/16 23:43,20.96,,,,
349,7/28/16 23:58,20.841,,,,
350,7/29/16 0:13,20.746,,,,
351,7/29/16 0:28,20.627,,,,
352,7/29/16 0:43,20.507,,,,
353,7/29/16 0:58,20.412,,,,
354,7/29/16 1:13,20.293,,,,
355,7/29/16 1:28,20.198,,,,
356,7/29/16 1:43,20.103,,,,
357,7/29/16 1:58,20.007,,,,
358,7/29/16 2:13,19.912,,,,
359,7/29/16 2:28,19.817,,,,
360,7/29/16 2:43,19.698,,,,
361,7/29/16 2:58,19.579,,,,
362,7/29/16 3:13,19.484,,,,
363,7/29/16 3:28,19.341,,,,
364,7/29/16 3:43,19.222,,,,
365,7/29/16 3:58,19.103,,,,
366,7/29/16 4:13,19.008,,,,
367,7/29/16 4:28,18.889,,,,
368,7/29/16 4:43,18.771,,,,
369,7/29/16 4:58,18.675,,,,
370,7/29/16 5:13,18.557,,,,
371,7/29/16 5:28,18.438,,,,
372,7/29/16 5:43,18.343,,,,
373,7/29/16 5:58,18.224,,,,
374,7/29/16 6:13,18.105,,,,
375,7/29/16 6:28,17.962,,,,
376,7/29/16 6:43,17.819,,,,
377,7/29/16 6:58,17.677,,,,
378,7/29/16 7:13,17.582,,,,
379,7/29/16 7:28,17.51,,,,
380,7/29/16 7:43,17.415,,,,
381,7/29/16 7:58,17.344,,,,
382,7/29/16 8:13,17.344,,,,
383,7/29/16 8:28,17.344,,,,
384,7/29/16 8:43,17.415,,,,
385,7/29/16 8:58,17.463,,,,
386,7/29/16 9:13,17.486,,,,
387,7/29/16 9:28,17.534,,,,
388,7/29/16 9:43,17.558,,,,
389,7/29/16 9:58,17.605,,,,
390,7/29/16 10:13,17.629,,,,
391,7/29/16 10:28,17.677,,,,
392,7/29/16 10:43,17.724,,,,
393,7/29/16 10:58,17.772,,,,
394,7/29/16 11:13,17.819,,,,
395,7/29/16 11:28,17.891,,,,
396,7/29/16 11:43,17.962,,,,
397,7/29/16 11:58,18.033,,,,
398,7/29/16 12:13,18.105,,,,
399,7/29/16 12:28,18.176,,,,
400,7/29/16 12:43,18.271,,,,
401,7/29/16 12:58,18.343,,,,
402,7/29/16 13:13,18.438,,,,
403,7/29/16 13:28,18.533,,,,
404,7/29/16 13:43,18.628,,,,
405,7/29/16 13:58,18.723,,,,
406,7/29/16 14:13,18.842,,,,
407,7/29/16 14:28,18.937,,,,
408,7/29/16 14:43,19.056,,,,
409,7/29/16 14:58,19.151,,,,
410,7/29/16 15:13,19.246,,,,
411,7/29/16 15:28,19.341,,,,
412,7/29/16 15:43,19.436,,,,
413,7/29/16 15:58,19.532,,,,
414,7/29/16 16:13,19.627,,,,
415,7/29/16 16:28,19.698,,,,
416,7/29/16 16:43,19.77,,,,
417,7/29/16 16:58,19.841,,,,
418,7/29/16 17:13,19.912,,,,
419,7/29/16 17:28,19.96,,,,
420,7/29/16 17:43,20.031,,,,
421,7/29/16 17:58,20.079,,,,
422,7/29/16 18:13,20.126,,,,
423,7/29/16 18:28,20.15,,,,
424,7/29/16 18:43,20.198,,,,
425,7/29/16 18:58,20.222,,,,
426,7/29/16 19:13,20.246,,,,
427,7/29/16 19:28,20.269,,,,
428,7/29/16 19:43,20.293,,,,
429,7/29/16 19:58,20.293,,,,
430,7/29/16 20:13,20.317,,,,
431,7/29/16 20:28,20.317,,,,
432,7/29/16 20:43,20.317,,,,
433,7/29/16 20:58,20.317,,,,
434,7/29/16 21:13,20.293,,,,
435,7/29/16 21:28,20.841,,,,
436,7/29/16 21:43,21.223,,,,
437,7/29/16 21:58,21.318,,,,
438,7/29/16 22:13,21.032,,,,
439,7/29/16 22:28,20.936,,,,
440,7/29/16 22:43,20.817,,,,
441,7/29/16 22:58,20.674,,,,
442,7/29/16 23:13,20.507,,,,
443,7/29/16 23:28,20.317,,,,
444,7/29/16 23:43,20.174,,,,
445,7/29/16 23:58,20.055,,,,
446,7/30/16 0:13,19.936,,,,
447,7/30/16 0:28,19.841,,,,
448,7/30/16 0:43,19.77,,,,
449,7/30/16 0:58,19.674,,,,
450,7/30/16 1:13,19.603,,,,
451,7/30/16 1:28,19.532,,,,
452,7/30/16 1:43,19.46,,,,
453,7/30/16 1:58,19.365,,,,
454,7/30/16 2:13,19.294,,,,
455,7/30/16 2:28,19.222,,,,
456,7/30/16 2:43,19.127,,,,
457,7/30/16 2:58,19.056,,,,
458,7/30/16 3:13,18.961,,,,
459,7/30/16 3:28,18.866,,,,
460,7/30/16 3:43,18.771,,,,
461,7/30/16 3:58,18.675,,,,
462,7/30/16 4:13,18.604,,,,
463,7/30/16 4:28,18.533,,,,
464,7/30/16 4:43,18.461,,,,
465,7/30/16 4:58,18.414,,,,
466,7/30/16 5:13,18.366,,,,
467,7/30/16 5:28,18.295,,,,
468,7/30/16 5:43,18.224,,,,
469,7/30/16 5:58,18.152,,,,
470,7/30/16 6:13,18.081,,,,
471,7/30/16 6:28,18.033,,,,
472,7/30/16 6:43,18.01,,,,
473,7/30/16 6:58,17.962,,,,
474,7/30/16 7:13,17.938,,,,
475,7/30/16 7:28,17.938,,,,
476,7/30/16 7:43,17.915,,,,
477,7/30/16 7:58,17.891,,,,
478,7/30/16 8:13,17.867,,,,
479,7/30/16 8:28,17.843,,,,
480,7/30/16 8:43,17.819,,,,
481,7/30/16 8:58,17.819,,,,
482,7/30/16 9:13,17.819,,,,
483,7/30/16 9:28,17.819,,,,
484,7/30/16 9:43,17.819,,,,
485,7/30/16 9:58,17.819,,,,
486,7/30/16 10:13,17.843,,,,
487,7/30/16 10:28,17.843,,,,
488,7/30/16 10:43,17.867,,,,
489,7/30/16 10:58,17.915,,,,
490,7/30/16 11:13,17.962,,,,
491,7/30/16 11:28,18.01,,,,
492,7/30/16 11:43,18.057,,,,
493,7/30/16 11:58,18.129,,,,
494,7/30/16 12:13,18.2,,,,
495,7/30/16 12:28,18.271,,,,
496,7/30/16 12:43,18.343,,,,
497,7/30/16 12:58,18.438,,,,
498,7/30/16 13:13,18.533,,,,
499,7/30/16 13:28,18.628,,,,
500,7/30/16 13:43,18.723,,,,
501,7/30/16 13:58,18.842,,,,
502,7/30/16 14:13,18.937,,,,
503,7/30/16 14:28,19.056,,,,
504,7/30/16 14:43,19.151,,,,
505,7/30/16 14:58,19.246,,,,
506,7/30/16 15:13,19.318,,,,
507,7/30/16 15:28,19.389,,,,
508,7/30/16 15:43,19.484,,,,
509,7/30/16 15:58,19.555,,,,
510,7/30/16 16:13,19.627,,,,
511,7/30/16 16:28,19.674,,,,
512,7/30/16 16:43,19.746,,,,
513,7/30/16 16:58,19.793,,,,
514,7/30/16 17:13,19.817,,,,
515,7/30/16 17:28,19.817,,,,
516,7/30/16 17:43,19.841,,,,
517,7/30/16 17:58,19.841,,,,
518,7/30/16 18:13,19.865,,,,
519,7/30/16 18:28,19.865,,,,
520,7/30/16 18:43,19.888,,,,
521,7/30/16 18:58,19.912,,,,
522,7/30/16 19:13,19.912,,,,
523,7/30/16 19:28,19.936,,,,
524,7/30/16 19:43,19.936,,,,
525,7/30/16 19:58,19.96,,,,
526,7/30/16 20:13,19.984,,,,
527,7/30/16 20:28,20.007,,,,
528,7/30/16 20:43,20.007,,,,
529,7/30/16 20:58,20.007,,,,
530,7/30/16 21:13,20.007,,,,
531,7/30/16 21:28,20.007,,,,
532,7/30/16 21:43,19.984,,,,
533,7/30/16 21:58,19.936,,,,
534,7/30/16 22:13,19.888,,,,
535,7/30/16 22:28,19.841,,,,
536,7/30/16 22:43,19.77,,,,
537,7/30/16 22:58,19.722,,,,
538,7/30/16 23:13,21.223,,,,
539,7/30/16 23:28,21.509,,,,
540,7/30/16 23:43,21.676,,,,
541,7/30/16 23:58,21.772,,,,
542,7/31/16 0:13,21.843,,,,
543,7/31/16 0:28,21.891,,,,
544,7/31/16 0:43,21.915,,,,
545,7/31/16 0:58,21.915,,,,
546,7/31/16 1:13,21.915,,,,
547,7/31/16 1:28,21.867,,,,
548,7/31/16 1:43,21.843,,,,
549,7/31/16 1:58,21.819,,,,
550,7/31/16 2:13,21.772,,,,
551,7/31/16 2:28,21.724,,,,
552,7/31/16 2:43,21.676,,,,
553,7/31/16 2:58,21.628,,,,
554,7/31/16 3:13,21.581,,,,
555,7/31/16 3:28,21.509,,,,
556,7/31/16 3:43,21.437,,,,
557,7/31/16 3:58,21.366,,,,
558,7/31/16 4:13,21.294,,,,
559,7/31/16 4:28,21.223,,,,
560,7/31/16 4:43,21.151,,,,
561,7/31/16 4:58,21.056,,,,
562,7/31/16 5:13,20.984,,,,
563,7/31/16 5:28,20.913,,,,
564,7/31/16 5:43,20.817,,,,
565,7/31/16 5:58,20.722,,,,
566,7/31/16 6:13,20.65,,,,
567,7/31/16 6:28,20.555,,,,
568,7/31/16 6:43,20.46,,,,
569,7/31/16 6:58,20.365,,,,
570,7/31/16 7:13,20.269,,,,
571,7/31/16 7:28,19.984,,,,
572,7/31/16 7:43,19.746,,,,
573,7/31/16 7:58,19.698,,,,
574,7/31/16 8:13,19.532,,,,
575,7/31/16 8:28,19.484,,,,
576,7/31/16 8:43,19.627,,,,
577,7/31/16 8:58,19.651,,,,
578,7/31/16 9:13,19.674,,,,
579,7/31/16 9:28,19.698,,,,
580,7/31/16 9:43,19.77,,,,
581,7/31/16 9:58,19.888,,,,
582,7/31/16 10:13,20.079,,,,
583,7/31/16 10:28,20.293,,,,
584,7/31/16 10:43,20.65,,,,
585,7/31/16 10:58,21.819,,,,
586,7/31/16 11:13,22.657,,,,
587,7/31/16 11:28,22.872,,,,
588,7/31/16 11:43,23.136,,,,
589,7/31/16 11:58,23.881,,,,
590,7/31/16 12:13,24.605,,,,
591,7/31/16 12:28,25.065,,,,
592,7/31/16 12:43,25.258,,,,
593,7/31/16 12:58,25.501,,,,
594,7/31/16 13:13,25.501,,,,
595,7/31/16 13:28,25.866,,,,
596,7/31/16 13:43,25.939,,,,
597,7/31/16 13:58,25.768,,,,
598,7/31/16 14:13,25.866,,,,
599,7/31/16 14:28,25.598,,,,
600,7/31/16 14:43,23.881,,,,
601,7/31/16 14:58,22.489,,,,
602,7/31/16 15:13,22.154,,,,
603,7/31/16 15:28,22.585,,,,
604,7/31/16 15:43,22.992,,,,
605,7/31/16 15:58,22.944,,,,
606,7/31/16 16:13,22.657,,,,
607,7/31/16 16:28,22.345,,,,
608,7/31/16 16:43,22.537,,,,
609,7/31/16 16:58,22.633,,,,
610,7/31/16 17:13,22.465,,,,
611,7/31/16 17:28,22.441,,,,
612,7/31/16 17:43,22.082,,,,
613,7/31/16 17:58,21.604,,,,
614,7/31/16 18:13,20.96,,,,
615,7/31/16 18:28,20.436,,,,
616,7/31/16 18:43,19.984,,,,
617,7/31/16 18:58,19.817,,,,
618,7/31/16 19:13,20.603,,,,
619,7/31/16 19:28,20.507,,,,
620,7/31/16 19:43,20.007,,,,
621,7/31/16 19:58,19.508,,,,
622,7/31/16 20:13,19.008,,,,
623,7/31/16 20:28,18.557,,,,
624,7/31/16 20:43,18.081,,,,
625,7/31/16 20:58,17.629,,,,
626,7/31/16 21:13,17.177,,,,
