Serial Number:20425024 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*F)",Button Down,Button Up,Host Connect,EOF
7/30/18 7:30,52.23, , , , 
7/30/18 7:45,52.15, , , , 
7/30/18 8:00,52.07, , , , 
7/30/18 8:15,51.76, , , , 
7/30/18 8:30,51.61, , , , 
7/30/18 8:45,51.92, , , , 
7/30/18 9:00,51.76, , , , 
7/30/18 9:15,51.84, , , , 
7/30/18 9:30,52.07, , , , 
7/30/18 9:45,52.23, , , , 
7/30/18 10:00,52.46, , , , 
7/30/18 10:15,52.69, , , , 
7/30/18 10:30,53, , , , 
7/30/18 10:45,53.54, , , , 
7/30/18 11:00,53.77, , , , 
7/30/18 11:15,54.31, , , , 
7/30/18 11:30,54.85, , , , 
7/30/18 11:45,55.39, , , , 
7/30/18 12:00,55.86, , , , 
7/30/18 12:15,56.4, , , , 
7/30/18 12:30,56.86, , , , 
7/30/18 12:45,57.4, , , , 
7/30/18 13:00,57.86, , , , 
7/30/18 13:15,58.4, , , , 
7/30/18 13:30,59.1, , , , 
7/30/18 13:45,59.72, , , , 
7/30/18 14:00,60.34, , , , 
7/30/18 14:15,61.03, , , , 
7/30/18 14:30,61.72, , , , 
7/30/18 14:45,62.5, , , , 
7/30/18 15:00,63.19, , , , 
7/30/18 15:15,64.04, , , , 
7/30/18 15:30,64.89, , , , 
7/30/18 15:45,65.59, , , , 
7/30/18 16:00,66.51, , , , 
7/30/18 16:15,67.36, , , , 
7/30/18 16:30,68.21, , , , 
7/30/18 16:45,68.98, , , , 
7/30/18 17:00,69.91, , , , 
7/30/18 17:15,70.76, , , , 
7/30/18 17:30,71.69, , , , 
7/30/18 17:45,72.46, , , , 
7/30/18 18:00,73.31, , , , 
7/30/18 18:15,74, , , , 
7/30/18 18:30,74.23, , , , 
7/30/18 18:45,74.62, , , , 
7/30/18 19:00,75.01, , , , 
7/30/18 19:15,75.39, , , , 
7/30/18 19:30,75.7, , , , 
7/30/18 19:45,75.78, , , , 
7/30/18 20:00,75.86, , , , 
7/30/18 20:15,75.78, , , , 
7/30/18 20:30,75.86, , , , 
7/30/18 20:45,75.55, , , , 
7/30/18 21:00,75.16, , , , 
7/30/18 21:15,74.93, , , , 
7/30/18 21:30,74.39, , , , 
7/30/18 21:45,73.69, , , , 
7/30/18 22:00,73.23, , , , 
7/30/18 22:15,72.54, , , , 
