"ï»¿""Plot Title: 20155861""",,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 20155861, SEN S/N: 20155861)",Coupler Detached (LGR S/N: 20155861),Coupler Attached (LGR S/N: 20155861),Host Connected (LGR S/N: 20155861),Stopped (LGR S/N: 20155861),End Of File (LGR S/N: 20155861)
354,08/20/17 12:59 PM,10.198,,,,,
355,08/20/17 01:59 PM,10.418,,,,,
356,08/20/17 02:59 PM,10.418,,,,,
357,08/20/17 03:59 PM,9.632,,,,,
358,08/20/17 04:59 PM,8.469,,,,,
359,08/20/17 05:59 PM,7.066,,,,,
360,08/20/17 06:59 PM,4.402,,,,,
361,08/20/17 07:59 PM,3.538,,,,,
362,08/20/17 08:59 PM,3.063,,,,,
363,08/20/17 09:59 PM,2.717,,,,,
364,08/20/17 10:59 PM,2.423,,,,,
365,08/20/17 11:59 PM,2.182,,,,,
366,08/21/17 12:59 AM,2.047,,,,,
367,08/21/17 01:59 AM,1.886,,,,,
368,08/21/17 02:59 AM,1.832,,,,,
369,08/21/17 03:59 AM,1.67,,,,,
370,08/21/17 04:59 AM,1.643,,,,,
371,08/21/17 05:59 AM,1.453,,,,,
372,08/21/17 06:59 AM,1.425,,,,,
373,08/21/17 07:59 AM,1.67,,,,,
374,08/21/17 08:59 AM,3.67,,,,,
375,08/21/17 09:59 AM,5.924,,,,,
376,08/21/17 10:59 AM,6.712,,,,,
377,08/21/17 11:59 AM,4.194,,,,,
378,08/21/17 12:59 PM,8.469,,,,,
379,08/21/17 01:59 PM,10.418,,,,,
380,08/21/17 02:59 PM,10.663,,,,,
381,08/21/17 03:59 PM,10.296,,,,,
382,08/21/17 04:59 PM,9.41,,,,,
383,08/21/17 05:59 PM,7.995,,,,,
384,08/21/17 06:59 PM,5.128,,,,,
385,08/21/17 07:59 PM,4.141,,,,,
386,08/21/17 08:59 PM,3.459,,,,,
387,08/21/17 09:59 PM,3.036,,,,,
388,08/21/17 10:59 PM,2.744,,,,,
389,08/21/17 11:59 PM,2.53,,,,,
390,08/22/17 12:59 AM,2.289,,,,,
391,08/22/17 01:59 AM,2.128,,,,,
392,08/22/17 02:59 AM,1.994,,,,,
393,08/22/17 03:59 AM,1.94,,,,,
394,08/22/17 04:59 AM,1.886,,,,,
395,08/22/17 05:59 AM,1.832,,,,,
396,08/22/17 06:59 AM,1.832,,,,,
397,08/22/17 07:59 AM,1.967,,,,,
398,08/22/17 08:59 AM,4.011,,,,,
399,08/22/17 09:59 AM,6.382,,,,,
400,08/22/17 10:59 AM,8.643,,,,,
401,08/22/17 11:59 AM,10.467,,,,,
402,08/22/17 12:59 PM,11.686,,,,,
403,08/22/17 01:59 PM,12.171,,,,,
404,08/22/17 02:59 PM,11.904,,,,,
405,08/22/17 03:59 PM,11.297,,,,,
406,08/22/17 04:59 PM,10.124,,,,,
407,08/22/17 05:59 PM,8.643,,,,,
408,08/22/17 06:59 PM,5.847,,,,,
409,08/22/17 07:59 PM,4.792,,,,,
410,08/22/17 08:59 PM,4.141,,,,,
411,08/22/17 09:59 PM,3.722,,,,,
412,08/22/17 10:59 PM,3.406,,,,,
413,08/22/17 11:59 PM,3.274,,,,,
414,08/23/17 12:59 AM,3.195,,,,,
415,08/23/17 01:59 AM,3.116,,,,,
416,08/23/17 02:59 AM,2.956,,,,,
417,08/23/17 03:59 AM,2.903,,,,,
418,08/23/17 04:59 AM,2.69,,,,,
419,08/23/17 05:59 AM,2.61,,,,,
420,08/23/17 06:59 AM,2.557,,,,,
421,08/23/17 07:59 AM,2.637,,,,,
422,08/23/17 08:59 AM,4.506,,,,,
423,08/23/17 09:59 AM,6.813,,,,,
424,08/23/17 10:59 AM,8.767,,,,,
425,08/23/17 11:59 AM,9.262,,,,,
426,08/23/17 12:59 PM,11.516,,,,,
427,08/23/17 01:59 PM,9.731,,,,,
428,08/23/17 02:59 PM,8.643,,,,,
429,08/23/17 03:59 PM,9.361,,,,,
430,08/23/17 04:59 PM,7.192,,,,,
431,08/23/17 05:59 PM,6.864,,,,,
432,08/23/17 06:59 PM,5.616,,,,,
433,08/23/17 07:59 PM,4.818,,,,,
434,08/23/17 08:59 PM,4.324,,,,,
435,08/23/17 09:59 PM,4.063,,,,,
436,08/23/17 10:59 PM,3.801,,,,,
437,08/23/17 11:59 PM,3.538,,,,,
438,08/24/17 12:59 AM,3.168,,,,,
439,08/24/17 01:59 AM,2.93,,,,,
440,08/24/17 02:59 AM,2.77,,,,,
441,08/24/17 03:59 AM,2.69,,,,,
442,08/24/17 04:59 AM,2.53,,,,,
443,08/24/17 05:59 AM,2.423,,,,,
444,08/24/17 06:59 AM,2.557,,,,,
445,08/24/17 07:59 AM,2.584,,,,,
446,08/24/17 08:59 AM,4.428,,,,,
447,08/24/17 09:59 AM,6.585,,,,,
448,08/24/17 10:59 AM,8.742,,,,,
449,08/24/17 11:59 AM,10.761,,,,,
450,08/24/17 12:59 PM,10.712,,,,,
451,08/24/17 01:59 PM,8.22,,,,,
452,08/24/17 02:59 PM,9.287,,,,,
453,08/24/17 03:59 PM,8.99,,,,,
454,08/24/17 04:59 PM,8.095,,,,,
455,08/24/17 05:59 PM,6.788,,,,,
456,08/24/17 06:59 PM,5.642,,,,,
457,08/24/17 07:59 PM,4.844,,,,,
458,08/24/17 08:59 PM,4.48,,,,,
459,08/24/17 09:59 PM,4.037,,,,,
460,08/24/17 10:59 PM,3.538,,,,,
461,08/24/17 11:59 PM,3.459,,,,,
462,08/25/17 12:59 AM,3.617,,,,,
463,08/25/17 01:59 AM,3.248,,,,,
464,08/25/17 02:59 AM,2.93,,,,,
465,08/25/17 03:59 AM,2.69,,,,,
466,08/25/17 04:59 AM,2.744,,,,,
467,08/25/17 05:59 AM,2.423,,,,,
468,08/25/17 06:59 AM,2.37,,,,,
469,08/25/17 07:59 AM,2.69,,,,,
470,08/25/17 08:59 AM,3.749,,,,,
471,08/25/17 09:59 AM,4.141,,,,,
472,08/25/17 10:59 AM,5.282,,,,,
473,08/25/17 11:59 AM,6.788,,,,,
474,08/25/17 12:59 PM,6.535,,,,,
475,08/25/17 01:59 PM,9.188,,,,,
476,08/25/17 02:59 PM,8.717,,,,,
477,08/25/17 03:59 PM,9.657,,,,,
478,08/25/17 04:59 PM,8.767,,,,,
479,08/25/17 05:59 PM,7.343,,,,,
480,08/25/17 06:59 PM,5.642,,,,,
481,08/25/17 07:59 PM,4.662,,,,,
482,08/25/17 08:59 PM,3.88,,,,,
483,08/25/17 09:59 PM,3.512,,,,,
484,08/25/17 10:59 PM,3.274,,,,,
485,08/25/17 11:59 PM,3.168,,,,,
486,08/26/17 12:59 AM,3.221,,,,,
487,08/26/17 01:59 AM,3.221,,,,,
488,08/26/17 02:59 AM,3.116,,,,,
489,08/26/17 03:59 AM,3.009,,,,,
490,08/26/17 04:59 AM,2.903,,,,,
491,08/26/17 05:59 AM,2.797,,,,,
492,08/26/17 06:59 AM,2.797,,,,,
493,08/26/17 07:59 AM,2.93,,,,,
494,08/26/17 08:59 AM,4.532,,,,,
495,08/26/17 09:59 AM,6.458,,,,,
496,08/26/17 10:59 AM,8.195,,,,,
497,08/26/17 11:59 AM,9.632,,,,,
498,08/26/17 12:59 PM,10.638,,,,,
499,08/26/17 01:59 PM,11.078,,,,,
500,08/26/17 02:59 PM,11.102,,,,,
