Plot Title: 10972590,,,,,,,
#,"Date Time, GMT-06:00","Temp, ∞C (LGR S/N: 10972590, SEN S/N: 10972590)",Coupler Detached (LGR S/N: 10972590),Coupler Attached (LGR S/N: 10972590),Host Connected (LGR S/N: 10972590),Stopped (LGR S/N: 10972590),End Of File (LGR S/N: 10972590)
147,08/08/18/ 09:24:00 AM,1.751,,,,,
148,08/08/18/ 10:24:00 AM,2.047,,,,,
149,08/08/18/ 11:24:00 AM,2.343,,,,,
150,08/08/18/ 12:24:00 PM,2.503,,,,,
151,08/08/18/ 01:24:00 PM,2.503,,,,,
152,08/08/18/ 02:24:00 PM,2.477,,,,,
153,08/08/18/ 03:24:00 PM,2.262,,,,,
154,08/08/18/ 04:24:00 PM,1.994,,,,,
155,08/08/18/ 05:24:00 PM,1.778,,,,,
156,08/08/18/ 06:24:00 PM,1.67,,,,,
157,08/08/18/ 07:24:00 PM,1.615,,,,,
158,08/08/18/ 08:24:00 PM,1.588,,,,,
159,08/08/18/ 09:24:00 PM,1.561,,,,,
160,08/08/18/ 10:24:00 PM,1.534,,,,,
161,08/08/18/ 11:24:00 PM,1.507,,,,,
162,08/09/18/ 12:24:00 AM,1.507,,,,,
163,08/09/18/ 01:24:00 AM,1.507,,,,,
164,08/09/18/ 02:24:00 AM,1.48,,,,,
165,08/09/18/ 03:24:00 AM,1.507,,,,,
166,08/09/18/ 04:24:00 AM,1.48,,,,,
167,08/09/18/ 05:24:00 AM,1.48,,,,,
168,08/09/18/ 06:24:00 AM,1.453,,,,,
169,08/09/18/ 07:24:00 AM,1.48,,,,,
170,08/09/18/ 08:24:00 AM,1.561,,,,,
171,08/09/18/ 09:24:00 AM,1.805,,,,,
172,08/09/18/ 10:24:00 AM,2.101,,,,,
173,08/09/18/ 11:24:00 AM,2.37,,,,,
174,08/09/18/ 12:24:00 PM,2.45,,,,,
175,08/09/18/ 01:24:00 PM,2.45,,,,,
176,08/09/18/ 02:24:00 PM,2.396,,,,,
177,08/09/18/ 03:24:00 PM,2.262,,,,,
178,08/09/18/ 04:24:00 PM,1.994,,,,,
179,08/09/18/ 05:24:00 PM,1.778,,,,,
180,08/09/18/ 06:24:00 PM,1.643,,,,,
181,08/09/18/ 07:24:00 PM,1.615,,,,,
182,08/09/18/ 08:24:00 PM,1.615,,,,,
183,08/09/18/ 09:24:00 PM,1.615,,,,,
184,08/09/18/ 10:24:00 PM,1.561,,,,,
185,08/09/18/ 11:24:00 PM,1.561,,,,,
186,08/10/18/ 12:24:00 AM,1.561,,,,,
187,08/10/18/ 01:24:00 AM,1.534,,,,,
188,08/10/18/ 02:24:00 AM,1.507,,,,,
189,08/10/18/ 03:24:00 AM,1.507,,,,,
190,08/10/18/ 04:24:00 AM,1.507,,,,,
191,08/10/18/ 05:24:00 AM,1.48,,,,,
192,08/10/18/ 06:24:00 AM,1.48,,,,,
193,08/10/18/ 07:24:00 AM,1.507,,,,,
194,08/10/18/ 08:24:00 AM,1.615,,,,,
195,08/10/18/ 09:24:00 AM,1.832,,,,,
196,08/10/18/ 10:24:00 AM,2.101,,,,,
197,08/10/18/ 11:24:00 AM,2.37,,,,,
198,08/10/18/ 12:24:00 PM,2.477,,,,,
199,08/10/18/ 01:24:00 PM,2.45,,,,,
200,08/10/18/ 02:24:00 PM,2.396,,,,,
201,08/10/18/ 03:24:00 PM,2.236,,,,,
202,08/10/18/ 04:24:00 PM,1.967,,,,,
203,08/10/18/ 05:24:00 PM,1.751,,,,,
204,08/10/18/ 06:24:00 PM,1.67,,,,,
205,08/10/18/ 07:24:00 PM,1.643,,,,,
206,08/10/18/ 08:24:00 PM,1.643,,,,,
207,08/10/18/ 09:24:00 PM,1.615,,,,,
208,08/10/18/ 10:24:00 PM,1.588,,,,,
209,08/10/18/ 11:24:00 PM,1.561,,,,,
210,08/11/18/ 12:24:00 AM,1.534,,,,,
211,08/11/18/ 01:24:00 AM,1.534,,,,,
212,08/11/18/ 02:24:00 AM,1.534,,,,,
213,08/11/18/ 03:24:00 AM,1.534,,,,,
214,08/11/18/ 04:24:00 AM,1.507,,,,,
215,08/11/18/ 05:24:00 AM,1.534,,,,,
216,08/11/18/ 06:24:00 AM,1.507,,,,,
217,08/11/18/ 07:24:00 AM,1.534,,,,,
218,08/11/18/ 08:24:00 AM,1.615,,,,,
219,08/11/18/ 09:24:00 AM,1.778,,,,,
220,08/11/18/ 10:24:00 AM,2.021,,,,,
221,08/11/18/ 11:24:00 AM,2.262,,,,,
222,08/11/18/ 12:24:00 PM,2.423,,,,,
223,08/11/18/ 01:24:00 PM,2.37,,,,,
224,08/11/18/ 02:24:00 PM,2.047,,,,,
225,08/11/18/ 03:24:00 PM,2.182,,,,,
226,08/11/18/ 04:24:00 PM,1.832,,,,,
227,08/11/18/ 05:24:00 PM,1.778,,,,,
228,08/11/18/ 06:24:00 PM,1.67,,,,,
229,08/11/18/ 07:24:00 PM,1.615,,,,,
230,08/11/18/ 08:24:00 PM,1.615,,,,,
231,08/11/18/ 09:24:00 PM,1.615,,,,,
232,08/11/18/ 10:24:00 PM,1.561,,,,,
233,08/11/18/ 11:24:00 PM,1.507,,,,,
234,08/12/18/ 12:24:00 AM,1.534,,,,,
235,08/12/18/ 01:24:00 AM,1.534,,,,,
236,08/12/18/ 02:24:00 AM,1.534,,,,,
237,08/12/18/ 03:24:00 AM,1.534,,,,,
238,08/12/18/ 04:24:00 AM,1.507,,,,,
239,08/12/18/ 05:24:00 AM,1.507,,,,,
240,08/12/18/ 06:24:00 AM,1.507,,,,,
241,08/12/18/ 07:24:00 AM,1.534,,,,,
242,08/12/18/ 08:24:00 AM,1.615,,,,,
243,08/12/18/ 09:24:00 AM,1.778,,,,,
244,08/12/18/ 10:24:00 AM,2.021,,,,,
245,08/12/18/ 11:24:00 AM,2.155,,,,,
246,08/12/18/ 12:24:00 PM,2.155,,,,,
247,08/12/18/ 01:24:00 PM,2.262,,,,,
248,08/12/18/ 02:24:00 PM,2.128,,,,,
249,08/12/18/ 03:24:00 PM,2.155,,,,,
250,08/12/18/ 04:24:00 PM,1.967,,,,,
251,08/12/18/ 05:24:00 PM,1.832,,,,,
252,08/12/18/ 06:24:00 PM,1.778,,,,,
253,08/12/18/ 07:24:00 PM,1.724,,,,,
254,08/12/18/ 08:24:00 PM,1.615,,,,,
255,08/12/18/ 09:24:00 PM,1.588,,,,,
256,08/12/18/ 10:24:00 PM,1.615,,,,,
257,08/12/18/ 11:24:00 PM,1.534,,,,,
258,08/13/18/ 12:24:00 AM,1.534,,,,,
259,08/13/18/ 01:24:00 AM,1.561,,,,,
260,08/13/18/ 02:24:00 AM,1.534,,,,,
261,08/13/18/ 03:24:00 AM,1.507,,,,,
262,08/13/18/ 04:24:00 AM,1.534,,,,,
263,08/13/18/ 05:24:00 AM,1.48,,,,,
264,08/13/18/ 06:24:00 AM,1.453,,,,,
265,08/13/18/ 07:24:00 AM,1.48,,,,,
266,08/13/18/ 08:24:00 AM,1.534,,,,,
267,08/13/18/ 09:24:00 AM,1.588,,,,,
268,08/13/18/ 10:24:00 AM,1.967,,,,,
269,08/13/18/ 11:24:00 AM,2.182,,,,,
270,08/13/18/ 12:24:00 PM,2.262,,,,,
271,08/13/18/ 01:24:00 PM,2.262,,,,,
272,08/13/18/ 02:24:00 PM,1.94,,,,,
273,08/13/18/ 03:24:00 PM,1.886,,,,,
274,08/13/18/ 04:24:00 PM,1.751,,,,,
275,08/13/18/ 05:24:00 PM,1.751,,,,,
276,08/13/18/ 06:24:00 PM,1.697,,,,,
277,08/13/18/ 07:24:00 PM,1.615,,,,,
278,08/13/18/ 08:24:00 PM,1.561,,,,,
279,08/13/18/ 09:24:00 PM,1.561,,,,,
280,08/13/18/ 10:24:00 PM,1.561,,,,,
281,08/13/18/ 11:24:00 PM,1.561,,,,,
282,08/14/18/ 12:24:00 AM,1.534,,,,,
283,08/14/18/ 01:24:00 AM,1.561,,,,,
284,08/14/18/ 02:24:00 AM,1.507,,,,,
285,08/14/18/ 03:24:00 AM,1.48,,,,,
286,08/14/18/ 04:24:00 AM,1.453,,,,,
287,08/14/18/ 05:24:00 AM,1.425,,,,,
288,08/14/18/ 06:24:00 AM,1.398,,,,,
289,08/14/18/ 07:24:00 AM,1.453,,,,,
290,08/14/18/ 08:24:00 AM,1.507,,,,,
291,08/14/18/ 09:24:00 AM,1.724,,,,,
292,08/14/18/ 10:24:00 AM,2.021,,,,,
293,08/14/18/ 11:24:00 AM,2.182,,,,,
294,08/14/18/ 12:24:00 PM,2.209,,,,,
295,08/14/18/ 01:24:00 PM,2.182,,,,,
296,08/14/18/ 02:24:00 PM,2.182,,,,,
297,08/14/18/ 03:24:00 PM,2.101,,,,,
298,08/14/18/ 04:24:00 PM,1.805,,,,,
299,08/14/18/ 05:24:00 PM,1.588,,,,,
300,08/14/18/ 06:24:00 PM,1.507,,,,,
301,08/14/18/ 07:24:00 PM,1.507,,,,,
302,08/14/18/ 08:24:00 PM,1.48,,,,,
303,08/14/18/ 09:24:00 PM,1.453,,,,,
304,08/14/18/ 10:24:00 PM,1.425,,,,,
305,08/14/18/ 11:24:00 PM,1.425,,,,,
306,08/15/18/ 12:24:00 AM,1.425,,,,,
307,08/15/18/ 01:24:00 AM,1.425,,,,,
308,08/15/18/ 02:24:00 AM,1.398,,,,,
309,08/15/18/ 03:24:00 AM,1.398,,,,,
310,08/15/18/ 04:24:00 AM,1.398,,,,,
311,08/15/18/ 05:24:00 AM,1.398,,,,,
312,08/15/18/ 06:24:00 AM,1.398,,,,,
313,08/15/18/ 07:24:00 AM,1.398,,,,,
314,08/15/18/ 08:24:00 AM,1.48,,,,,
315,08/15/18/ 09:24:00 AM,1.697,,,,,
316,08/15/18/ 10:24:00 AM,1.94,,,,,
317,08/15/18/ 11:24:00 AM,2.236,,,,,
318,08/15/18/ 12:24:00 PM,2.316,,,,,
319,08/15/18/ 01:24:00 PM,2.262,,,,,
320,08/15/18/ 02:24:00 PM,2.182,,,,,
321,08/15/18/ 03:24:00 PM,2.047,,,,,
322,08/15/18/ 04:24:00 PM,1.778,,,,,
323,08/15/18/ 05:24:00 PM,1.561,,,,,
324,08/15/18/ 06:24:00 PM,1.507,,,,,
325,08/15/18/ 07:24:00 PM,1.507,,,,,
326,08/15/18/ 08:24:00 PM,1.507,,,,,
327,08/15/18/ 09:24:00 PM,1.507,,,,,
328,08/15/18/ 10:24:00 PM,1.453,,,,,
329,08/15/18/ 11:24:00 PM,1.453,,,,,
330,08/16/18/ 12:24:00 AM,1.425,,,,,
331,08/16/18/ 01:24:00 AM,1.425,,,,,
332,08/16/18/ 02:24:00 AM,1.425,,,,,
