"ï»¿""Plot Title: 20155861""",,,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 20155861, SEN S/N: 20155861)",Coupler Detached (LGR S/N: 20155861),Coupler Attached (LGR S/N: 20155861),Host Connected (LGR S/N: 20155861),Stopped (LGR S/N: 20155861),End Of File (LGR S/N: 20155861),
323,8/19/2017 5:59,1.317,,,,,,
324,8/19/2017 6:59,1.289,,,,,,
325,8/19/2017 7:59,1.317,,,,,,
326,8/19/2017 8:59,3.538,,,,,,
327,8/19/2017 9:59,5.668,,,,,,
328,8/19/2017 10:59,7.544,,,,,,
329,8/19/2017 11:59,9.163,,,,,,
330,8/19/2017 12:59,10.1,,,,,,
331,8/19/2017 13:59,10.222,,,,,,
332,8/19/2017 14:59,10.173,,,,,,
333,8/19/2017 15:59,9.509,,,,,,
334,8/19/2017 16:59,8.295,,,,,,
335,8/19/2017 17:59,6.535,,,,,,
336,8/19/2017 18:59,4.636,,,,,,
337,8/19/2017 19:59,3.643,,,,,,
338,8/19/2017 20:59,3.063,,,,,,
339,8/19/2017 21:59,2.637,,,,,,
340,8/19/2017 22:59,2.396,,,,,,
341,8/19/2017 23:59,2.289,,,,,,
342,8/20/2017 0:59,2.155,,,,,,
343,8/20/2017 1:59,2.128,,,,,,
344,8/20/2017 2:59,2.047,,,,,,
345,8/20/2017 3:59,1.994,,,,,,
346,8/20/2017 4:59,1.886,,,,,,
347,8/20/2017 5:59,1.859,,,,,,
348,8/20/2017 6:59,1.805,,,,,,
349,8/20/2017 7:59,2.074,,,,,,
350,8/20/2017 8:59,3.88,,,,,,
351,8/20/2017 9:59,5.77,,,,,,
352,8/20/2017 10:59,7.519,,,,,,
353,8/20/2017 11:59,9.163,,,,,,
354,8/20/2017 12:59,10.198,,,,,,
355,8/20/2017 13:59,10.418,,,,,,
356,8/20/2017 14:59,10.418,,,,,,
357,8/20/2017 15:59,9.632,,,,,,
358,8/20/2017 16:59,8.469,,,,,,
359,8/20/2017 17:59,7.066,,,,,,
360,8/20/2017 18:59,4.402,,,,,,
361,8/20/2017 19:59,3.538,,,,,,
362,8/20/2017 20:59,3.063,,,,,,
363,8/20/2017 21:59,2.717,,,,,,
364,8/20/2017 22:59,2.423,,,,,,
365,8/20/2017 23:59,2.182,,,,,,
366,8/21/2017 0:59,2.047,,,,,,
367,8/21/2017 1:59,1.886,,,,,,
368,8/21/2017 2:59,1.832,,,,,,
369,8/21/2017 3:59,1.67,,,,,,
370,8/21/2017 4:59,1.643,,,,,,
371,8/21/2017 5:59,1.453,,,,,,
372,8/21/2017 6:59,1.425,,,,,,
373,8/21/2017 7:59,1.67,,,,,,
374,8/21/2017 8:59,3.67,,,,,,
375,8/21/2017 9:59,5.924,,,,,,
376,8/21/2017 10:59,6.712,,,,,,
377,8/21/2017 11:59,4.194,,,,,,
378,8/21/2017 12:59,8.469,,,,,,
379,8/21/2017 13:59,10.418,,,,,,
380,8/21/2017 14:59,10.663,,,,,,
381,8/21/2017 15:59,10.296,,,,,,
382,8/21/2017 16:59,9.41,,,,,,
383,8/21/2017 17:59,7.995,,,,,,
384,8/21/2017 18:59,5.128,,,,,,
385,8/21/2017 19:59,4.141,,,,,,
386,8/21/2017 20:59,3.459,,,,,,
387,8/21/2017 21:59,3.036,,,,,,
388,8/21/2017 22:59,2.744,,,,,,
389,8/21/2017 23:59,2.53,,,,,,
390,8/22/2017 0:59,2.289,,,,,,
391,8/22/2017 1:59,2.128,,,,,,
392,8/22/2017 2:59,1.994,,,,,,
393,8/22/2017 3:59,1.94,,,,,,
394,8/22/2017 4:59,1.886,,,,,,
395,8/22/2017 5:59,1.832,,,,,,
396,8/22/2017 6:59,1.832,,,,,,
397,8/22/2017 7:59,1.967,,,,,,
398,8/22/2017 8:59,4.011,,,,,,
399,8/22/2017 9:59,6.382,,,,,,
400,8/22/2017 10:59,8.643,,,,,,
401,8/22/2017 11:59,10.467,,,,,,
402,8/22/2017 12:59,11.686,,,,,,
403,8/22/2017 13:59,12.171,,,,,,
404,8/22/2017 14:59,11.904,,,,,,
405,8/22/2017 15:59,11.297,,,,,,
406,8/22/2017 16:59,10.124,,,,,,
407,8/22/2017 17:59,8.643,,,,,,
408,8/22/2017 18:59,5.847,,,,,,
409,8/22/2017 19:59,4.792,,,,,,
410,8/22/2017 20:59,4.141,,,,,,
411,8/22/2017 21:59,3.722,,,,,,
412,8/22/2017 22:59,3.406,,,,,,
413,8/22/2017 23:59,3.274,,,,,,
414,8/23/2017 0:59,3.195,,,,,,
415,8/23/2017 1:59,3.116,,,,,,
416,8/23/2017 2:59,2.956,,,,,,
417,8/23/2017 3:59,2.903,,,,,,
418,8/23/2017 4:59,2.69,,,,,,
419,8/23/2017 5:59,2.61,,,,,,
420,8/23/2017 6:59,2.557,,,,,,
421,8/23/2017 7:59,2.637,,,,,,
422,8/23/2017 8:59,4.506,,,,,,
423,8/23/2017 9:59,6.813,,,,,,
424,8/23/2017 10:59,8.767,,,,,,
425,8/23/2017 11:59,9.262,,,,,,
426,8/23/2017 12:59,11.516,,,,,,
427,8/23/2017 13:59,9.731,,,,,,
428,8/23/2017 14:59,8.643,,,,,,
429,8/23/2017 15:59,9.361,,,,,,
430,8/23/2017 16:59,7.192,,,,,,
431,8/23/2017 17:59,6.864,,,,,,
432,8/23/2017 18:59,5.616,,,,,,
433,8/23/2017 19:59,4.818,,,,,,
434,8/23/2017 20:59,4.324,,,,,,
435,8/23/2017 21:59,4.063,,,,,,
436,8/23/2017 22:59,3.801,,,,,,
437,8/23/2017 23:59,3.538,,,,,,
438,8/24/2017 0:59,3.168,,,,,,
439,8/24/2017 1:59,2.93,,,,,,
440,8/24/2017 2:59,2.77,,,,,,
441,8/24/2017 3:59,2.69,,,,,,
442,8/24/2017 4:59,2.53,,,,,,
443,8/24/2017 5:59,2.423,,,,,,
444,8/24/2017 6:59,2.557,,,,,,
445,8/24/2017 7:59,2.584,,,,,,
446,8/24/2017 8:59,4.428,,,,,,
447,8/24/2017 9:59,6.585,,,,,,
448,8/24/2017 10:59,8.742,,,,,,
449,8/24/2017 11:59,10.761,,,,,,
450,8/24/2017 12:59,10.712,,,,,,
451,8/24/2017 13:59,8.22,,,,,,
452,8/24/2017 14:59,9.287,,,,,,
453,8/24/2017 15:59,8.99,,,,,,
454,8/24/2017 16:59,8.095,,,,,,
455,8/24/2017 17:59,6.788,,,,,,
456,8/24/2017 18:59,5.642,,,,,,
